[2026-03-29 21:46:35] === AlphaZero Loop Start (iteration=1, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-03-29 21:46:35] --- Iteration 1 (sims=64, global_step=0) ---
[2026-03-29 21:46:35] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 5.65s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_1.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Failed to load model from artifacts/puyo_model: FileNotFound("No such file or directory (os error 2)"). Initializing random weights
Using 128 game threads, max_batch_size=128
[   1/300] samples:      3 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 0.19 games/s | ETA: 1584s
[   2/300] samples:      6 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 0.37 games/s | ETA: 795s
[   3/300] samples:      9 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 0.56 games/s | ETA: 529s
[   4/300] samples:     12 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 0.74 games/s | ETA: 398s
[   5/300] samples:     15 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 0.93 games/s | ETA: 318s
[   6/300] samples:     18 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 1.11 games/s | ETA: 265s
[   7/300] samples:     21 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 1.29 games/s | ETA: 227s
[   8/300] samples:     24 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 1.47 games/s | ETA: 198s
[   9/300] samples:     27 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 1.66 games/s | ETA: 175s
[  10/300] samples:     30 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 1.84 games/s | ETA: 158s
[  11/300] samples:     33 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 2.02 games/s | ETA: 143s
[  12/300] samples:     36 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 2.20 games/s | ETA: 131s
[  13/300] samples:     39 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 2.38 games/s | ETA: 121s
[  14/300] samples:     42 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 2.54 games/s | ETA: 113s
[  15/300] samples:     45 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 2.71 games/s | ETA: 105s
[  16/300] samples:     48 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 2.89 games/s | ETA: 98s
[  17/300] samples:     52 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 2.95 games/s | ETA: 96s
[  18/300] samples:     56 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 3.10 games/s | ETA: 91s
[  19/300] samples:     60 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 3.26 games/s | ETA: 86s
[  20/300] samples:     64 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 3.42 games/s | ETA: 82s
[  21/300] samples:     68 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 3.57 games/s | ETA: 78s
[  22/300] samples:     72 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 3.74 games/s | ETA: 74s
[  23/300] samples:     76 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 3.91 games/s | ETA: 71s
[  24/300] samples:     80 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 4.05 games/s | ETA: 68s
[  25/300] samples:     84 | chain(game/max/avg): 0/0/0.0 | reward(game/avg): 0/0 | 4.19 games/s | ETA: 66s
[  26/300] samples:     89 | chain(game/max/avg): 1/1/0.0 | reward(game/avg): 40/2 | 3.83 games/s | ETA: 72s
[  27/300] samples:     94 | chain(game/max/avg): 1/1/0.1 | reward(game/avg): 40/3 | 3.90 games/s | ETA: 70s
[  28/300] samples:     99 | chain(game/max/avg): 0/1/0.1 | reward(game/avg): 0/3 | 4.04 games/s | ETA: 67s
[  29/300] samples:    105 | chain(game/max/avg): 1/1/0.1 | reward(game/avg): 40/4 | 4.19 games/s | ETA: 65s
[  30/300] samples:    110 | chain(game/max/avg): 1/1/0.1 | reward(game/avg): 40/5 | 4.24 games/s | ETA: 64s
[  31/300] samples:    113 | chain(game/max/avg): 0/1/0.1 | reward(game/avg): 0/5 | 4.32 games/s | ETA: 62s
[  32/300] samples:    118 | chain(game/max/avg): 1/1/0.2 | reward(game/avg): 40/6 | 4.38 games/s | ETA: 61s
[  33/300] samples:    121 | chain(game/max/avg): 0/1/0.2 | reward(game/avg): 0/6 | 4.49 games/s | ETA: 59s
[  34/300] samples:    127 | chain(game/max/avg): 1/1/0.2 | reward(game/avg): 40/7 | 4.51 games/s | ETA: 59s
[  35/300] samples:    131 | chain(game/max/avg): 0/1/0.2 | reward(game/avg): 0/7 | 4.62 games/s | ETA: 57s
[  36/300] samples:    138 | chain(game/max/avg): 1/1/0.2 | reward(game/avg): 80/9 | 4.73 games/s | ETA: 56s
[  37/300] samples:    144 | chain(game/max/avg): 1/1/0.2 | reward(game/avg): 100/11 | 4.84 games/s | ETA: 54s
[  38/300] samples:    150 | chain(game/max/avg): 1/1/0.2 | reward(game/avg): 40/12 | 4.94 games/s | ETA: 53s
[  39/300] samples:    156 | chain(game/max/avg): 1/1/0.3 | reward(game/avg): 40/13 | 5.04 games/s | ETA: 52s
[  40/300] samples:    160 | chain(game/max/avg): 0/1/0.2 | reward(game/avg): 0/12 | 5.15 games/s | ETA: 50s
[  41/300] samples:    163 | chain(game/max/avg): 0/1/0.2 | reward(game/avg): 0/12 | 5.26 games/s | ETA: 49s
[  42/300] samples:    167 | chain(game/max/avg): 0/1/0.2 | reward(game/avg): 0/12 | 5.24 games/s | ETA: 49s
[  43/300] samples:    173 | chain(game/max/avg): 1/1/0.3 | reward(game/avg): 40/13 | 5.36 games/s | ETA: 48s
[  44/300] samples:    179 | chain(game/max/avg): 1/1/0.3 | reward(game/avg): 40/13 | 5.42 games/s | ETA: 47s
[  45/300] samples:    185 | chain(game/max/avg): 1/1/0.3 | reward(game/avg): 40/14 | 5.52 games/s | ETA: 46s
[  46/300] samples:    191 | chain(game/max/avg): 1/1/0.3 | reward(game/avg): 100/16 | 5.63 games/s | ETA: 45s
[  47/300] samples:    198 | chain(game/max/avg): 1/1/0.3 | reward(game/avg): 80/17 | 5.58 games/s | ETA: 45s
[  48/300] samples:    205 | chain(game/max/avg): 2/2/0.4 | reward(game/avg): 360/24 | 5.60 games/s | ETA: 45s
[  49/300] samples:    211 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 100/26 | 5.67 games/s | ETA: 44s
[  50/300] samples:    218 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 80/27 | 5.77 games/s | ETA: 43s
[  51/300] samples:    221 | chain(game/max/avg): 0/2/0.4 | reward(game/avg): 0/26 | 5.88 games/s | ETA: 42s
[  52/300] samples:    228 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 80/27 | 5.95 games/s | ETA: 42s
[  53/300] samples:    233 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 40/28 | 6.05 games/s | ETA: 41s
[  54/300] samples:    240 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 100/29 | 6.14 games/s | ETA: 40s
[  55/300] samples:    248 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 220/32 | 6.20 games/s | ETA: 40s
[  56/300] samples:    251 | chain(game/max/avg): 0/2/0.4 | reward(game/avg): 0/32 | 6.21 games/s | ETA: 39s
[  57/300] samples:    260 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 140/34 | 6.31 games/s | ETA: 39s
[  58/300] samples:    266 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 40/34 | 6.33 games/s | ETA: 38s
[  59/300] samples:    272 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 40/34 | 6.41 games/s | ETA: 38s
[  60/300] samples:    281 | chain(game/max/avg): 1/2/0.5 | reward(game/avg): 120/35 | 6.40 games/s | ETA: 37s
[  61/300] samples:    284 | chain(game/max/avg): 0/2/0.4 | reward(game/avg): 0/35 | 6.41 games/s | ETA: 37s
[  62/300] samples:    287 | chain(game/max/avg): 0/2/0.4 | reward(game/avg): 0/34 | 6.30 games/s | ETA: 38s
