[2026-04-05 05:00:44] === AlphaZero Loop Start (branch=develop, run_dir=runs/develop, iteration=401, games=300, sims=64+0/iter, max=64, min_chain=0, threads=128) ===
[2026-04-05 05:00:44] --- Iteration 401 (sims=64, global_step=400000) ---
[2026-04-05 05:00:44] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 6.80s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --c-puct-base 19652.0 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 128 --batch-size 512 --num-leaves 1 --model-path runs/develop/artifacts/puyo_model --cols 3 --rows 8 --num-colors 3 --residual-channels 64 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 64 --film-hidden 128 --output runs/develop/data/alphazero_iter_401.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
Game config: cols=3, rows=8, num_colors=3, residual_channels=64, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=64, film_hidden=128
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from runs/develop/artifacts/puyo_model
Using 128 game threads, max_batch_size=512
[   1/300] samples:     12 | chain(game/max/avg): 1/1/1.0 | reward(game/avg): 40/40 | 0.16 games/s | ETA: 1822s
[   2/300] samples:     44 | chain(game/max/avg): 3/3/2.0 | reward(game/avg): 3680/1860 | 0.16 games/s | ETA: 1854s
[   3/300] samples:     79 | chain(game/max/avg): 3/3/2.3 | reward(game/avg): 3420/2380 | 0.22 games/s | ETA: 1373s
[   4/300] samples:    118 | chain(game/max/avg): 4/4/2.8 | reward(game/avg): 4820/2990 | 0.27 games/s | ETA: 1079s
[   5/300] samples:    165 | chain(game/max/avg): 4/4/3.0 | reward(game/avg): 6760/3744 | 0.31 games/s | ETA: 966s
[   6/300] samples:    215 | chain(game/max/avg): 4/4/3.2 | reward(game/avg): 12740/5243 | 0.35 games/s | ETA: 851s
[   7/300] samples:    265 | chain(game/max/avg): 4/4/3.3 | reward(game/avg): 8360/5689 | 0.40 games/s | ETA: 740s
[   8/300] samples:    315 | chain(game/max/avg): 4/4/3.4 | reward(game/avg): 6900/5840 | 0.45 games/s | ETA: 648s
[   9/300] samples:    365 | chain(game/max/avg): 4/4/3.4 | reward(game/avg): 9240/6218 | 0.50 games/s | ETA: 582s
[  10/300] samples:    415 | chain(game/max/avg): 4/4/3.5 | reward(game/avg): 8860/6482 | 0.55 games/s | ETA: 523s
[  11/300] samples:    465 | chain(game/max/avg): 4/4/3.5 | reward(game/avg): 10440/6842 | 0.61 games/s | ETA: 474s
[  12/300] samples:    515 | chain(game/max/avg): 4/4/3.6 | reward(game/avg): 8160/6952 | 0.66 games/s | ETA: 434s
[  13/300] samples:    565 | chain(game/max/avg): 4/4/3.6 | reward(game/avg): 8820/7095 | 0.72 games/s | ETA: 400s
[  14/300] samples:    615 | chain(game/max/avg): 4/4/3.6 | reward(game/avg): 8100/7167 | 0.77 games/s | ETA: 371s
[  15/300] samples:    665 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 7030/7158 | 0.83 games/s | ETA: 345s
[  16/300] samples:    715 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 8760/7258 | 0.88 games/s | ETA: 323s
[  17/300] samples:    765 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9140/7369 | 0.93 games/s | ETA: 303s
[  18/300] samples:    815 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9570/7491 | 0.99 games/s | ETA: 285s
[  19/300] samples:    865 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 8680/7554 | 1.04 games/s | ETA: 270s
[  20/300] samples:    915 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 10120/7682 | 1.10 games/s | ETA: 255s
[  21/300] samples:    965 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9060/7748 | 1.15 games/s | ETA: 243s
[  22/300] samples:   1015 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 6120/7674 | 1.20 games/s | ETA: 231s
[  23/300] samples:   1065 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 8780/7722 | 1.26 games/s | ETA: 220s
[  24/300] samples:   1115 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 5680/7637 | 1.31 games/s | ETA: 210s
[  25/300] samples:   1165 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9460/7710 | 1.37 games/s | ETA: 201s
[  26/300] samples:   1215 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9480/7778 | 1.42 games/s | ETA: 193s
[  27/300] samples:   1265 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 8360/7799 | 1.47 games/s | ETA: 186s
[  28/300] samples:   1315 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 12380/7963 | 1.52 games/s | ETA: 178s
[  29/300] samples:   1365 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 11600/8088 | 1.58 games/s | ETA: 172s
[  30/300] samples:   1415 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9620/8139 | 1.63 games/s | ETA: 166s
[  31/300] samples:   1465 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9660/8188 | 1.68 games/s | ETA: 160s
[  32/300] samples:   1515 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 7120/8155 | 1.74 games/s | ETA: 154s
[  33/300] samples:   1565 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 7080/8122 | 1.79 games/s | ETA: 149s
[  34/300] samples:   1615 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 8400/8131 | 1.84 games/s | ETA: 144s
[  35/300] samples:   1665 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 7980/8126 | 1.90 games/s | ETA: 140s
[  36/300] samples:   1715 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9060/8152 | 1.95 games/s | ETA: 135s
[  37/300] samples:   1765 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 10020/8203 | 2.01 games/s | ETA: 131s
[  38/300] samples:   1815 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 11580/8292 | 2.06 games/s | ETA: 127s
[  39/300] samples:   1865 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 7700/8276 | 2.11 games/s | ETA: 124s
[  40/300] samples:   1915 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9540/8308 | 2.16 games/s | ETA: 120s
[  41/300] samples:   1965 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8560/8314 | 2.21 games/s | ETA: 117s
[  42/300] samples:   2015 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9240/8336 | 2.27 games/s | ETA: 114s
[  43/300] samples:   2065 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9860/8372 | 2.32 games/s | ETA: 111s
