[2026-04-07 14:11:58] Pre-building release binaries...
    Finished `release` profile [optimized] target(s) in 0.31s
[2026-04-07 14:11:59] === AlphaZero Loop Start (branch=rtx5090-4, run_dir=runs/rtx5090-4, iteration=1, games=3000x1gpu, sims=512+0/iter, max=512, min_chain=0, threads=1024) ===
[2026-04-07 14:11:59] --- Iteration 1 (sims=512, global_step=0) ---
[2026-04-07 14:11:59] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=3000, total=3000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 3000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 1024 --batch-size 4096 --num-leaves 1 --model-path runs/rtx5090-4/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 256 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 256 --film-hidden 256 --output runs/rtx5090-4/data/alphazero_iter_1_gpu0.bin`
[gpu0] games=3000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=256, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=256, film_hidden=256
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Failed to load model from runs/rtx5090-4/artifacts/puyo_model: FileNotFound("No such file or directory (os error 2)"). Initializing random weights
[gpu0] Using 1024 game threads, max_batch_size=4096
[gpu0] [   1/3000] samples:     50 | chain(game/max/avg): 5/5/5.0 | reward(game/avg): 9280/9280 | 0.00 games/s | ETA: 3366660s
[gpu0] [   2/3000] samples:    100 | chain(game/max/avg): 2/5/3.5 | reward(game/avg): 2620/5950 | 0.00 games/s | ETA: 1685116s
[gpu0] [   3/3000] samples:    150 | chain(game/max/avg): 3/5/3.3 | reward(game/avg): 3140/5013 | 0.00 games/s | ETA: 1123250s
[gpu0] [   4/3000] samples:    200 | chain(game/max/avg): 2/5/3.0 | reward(game/avg): 2360/4350 | 0.00 games/s | ETA: 842222s
[gpu0] [   5/3000] samples:    250 | chain(game/max/avg): 2/5/2.8 | reward(game/avg): 2260/3932 | 0.00 games/s | ETA: 673553s
[gpu0] [   6/3000] samples:    300 | chain(game/max/avg): 2/5/2.7 | reward(game/avg): 2370/3672 | 0.01 games/s | ETA: 561107s
[gpu0] [   7/3000] samples:    350 | chain(game/max/avg): 2/5/2.6 | reward(game/avg): 2580/3516 | 0.01 games/s | ETA: 480788s
[gpu0] [   8/3000] samples:    400 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4100/3589 | 0.01 games/s | ETA: 420549s
[gpu0] [   9/3000] samples:    450 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 3960/3630 | 0.01 games/s | ETA: 373711s
[gpu0] [  10/3000] samples:    500 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2910/3558 | 0.01 games/s | ETA: 336227s
[gpu0] [  11/3000] samples:    550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4500/3644 | 0.01 games/s | ETA: 305559s
[gpu0] [  12/3000] samples:    600 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 5050/3761 | 0.01 games/s | ETA: 280013s
